,qid,query,thai_reduced_cleaned
45,1138865,who is a gallant,เหงื่อออกเย็นในเวลากลางคืนหมายถึงอะไร 
46,398040,iphone 5 able to make wifi calls,วัสดุใดที่ใช้สำหรับสัญญาณธุรกิจ 
47,999715,where is wales located,เมื่อวัคซีนหัดออกมาเมื่อใด 
48,470403,osteopenic verses osteoporosis,กี่วันในการยกเลิกสัญญา 
49,417109,is malaria curable in africa,ความแตกต่างของชาติพันธุ์ระหว่าง Cajun และ Zydeco คืออะไร 
50,834834,what is the name of the anatomical space in which the thymus is located quizlet,ที่ตั้ง Highland County อยู่ที่ไหน 
51,969192,where did saint vincent de paul live,ทำไมการรักษาด้วยยีนจอประสาทตาจึงมีความสำคัญ 
52,989240,where is nicki minaj originally from,หน้าที่สำคัญของไอออนโพแทสเซียมในร่างกายคืออะไร 
53,835759,what is the name of the triangular area within the bladder,ปลายข้าวของทำจากอะไร 
54,975903,where is 01143 the area code for,ใครคือฮาวเวิร์ดแต่งงานกับ 
55,86878,causes of hypernatremia and hyperchloremia,แรงกดดันอะไร 
56,607583,what county is indianola ms,ข้อกำหนดขั้นต่ำที่จะเข้าร่วมกองกำลังติดอาวุธ 
57,237191,how is physics used in forensics science,พีแคนมาจากไหน 
58,151381,digitalis is a plant commonly known as what?,อายุการใช้งานของคณะลูกขุนคืออะไร 
59,404130,is bellatrix lestrange related to harry potter,ราคาเท่าไหร่ที่จะได้รับลายนิ้วมือของฉัน 
60,730153,what is china's pm,สาเหตุของเซลลูไลอักเสบที่โปร่งใส 
61,196725,gravimetric method definition,องค์ประกอบคืออะไร 
62,249556,how long does a hermit crab live for,สิ่งที่ทำให้เกิดจุดด่างดำบนใบพืช 
63,201534,hestia roman name,งานวิศวกรรมการจ่ายเงินที่ดีที่สุดคืออะไร 
64,770781,what is megahertz a measurement of,น้ำหนักเฉลี่ยของ GSD หญิง 
65,71027,can lyme disease cause coughing,การทดสอบเลือดของโรคระบบประสาทคืออะไร 
66,97635,contact uber customer service number,ค่าติดตั้ง NBN 
67,134140,definition of ductility,สิ่งที่ยกระดับภูมิศาสตร์ 
68,998859,where is toyota headquarters located in us,การศึกษานิยามทฤษฎีทางเลือก 
69,672498,what is atmospheric water vapor,แหล่งที่อยู่อาศัยของสิงโตทะเลอาศัยอยู่ 
70,292255,how many people died of the plague,ใครเป็นผู้อุปถัมภ์ของศิลปะในกรีซโบราณ 
71,778808,what is ochratoxin,ทำไมฉันถึงรักคุณบทกวีสำหรับเขา 
72,1025490,who conquered the incas,ช่องทางคืออะไร 
73,1050293,who sang the song white rabbit,ที่สามารถพบ Radiodurans deinococcus ได้ที่ไหน 
74,556827,what are common causes of eye infections,เขตอะไรคือ Centerview Missouri ใน 
75,554607,what are adrenergic antagonist,เคมีนิยามคอเลสเตอรอล 
76,431371,is when an adverb clause,คำพ้องความหมาย 
77,625919,what do we do with racial ethnic data from the census,น้ำดื่มเท่าไหร่ทุกวันสำหรับการลดน้ำหนัก 
78,904071,what three major rivers start in the himalayan mountains,ปริมาณน้ำฝนเฉลี่ยโดยเคาน์ตีในไอดาโฮ 
79,831688,what is the meaning of the name kameren,สิ่งที่มณฑลกู๊ดเยียร์แอริโซนา 
80,1057502,who were the little rock nine,เด็กอายุเท่าไหร่ที่จะได้รับสเก็ตบอร์ด 
81,978229,where is bison meat sourced,นานแค่ไหนที่แมลงกัดต่อการรักษา 
82,999009,where is troutman nc located,การสตรีมมิ่ง Roku ทำงานอย่างไร 
83,873687,what level does sandslash evolve,โครงสร้างพื้นฐานหมายถึงอะไร 
84,891961,what role does the house ways and means committee play in tax legislation,คำจำกัดความแบบมีสาย 
85,991957,where is rue de archives in paris,แตกต่างกันสำหรับสิว 
86,774190,what is mufasa,แอนแทรกซ์ส่งผ่านจดหมายหลังจาก 
87,907764,what to pair cottage cheese,แกนใดที่ทำจากเหล็กเหลวและนิกเกิล 
88,818682,what is the difference between uterine cycle and ovarian cycle,นิยามบุคคลที่สอง 
89,1610,"7. how are dna, rna, and proteins related in the cell?",ศาสตราจารย์ McGonagall คือชื่อกลางคืออะไร 
90,676923,what is a certified nursing assistant,จำนวนเฉลี่ยของคอเลสเตอรอลที่ดี 
91,1004988,which airport is closest to the smithsonian,สาเหตุของความพิการของผู้ใหญ่ในสหรัฐอเมริกา 
92,393188,in a democracy the idea of the consent of the governed argues that,ใครคือ Angela Macuga 
93,1153842,what is motivational,Ankh อียิปต์เป็นสัญลักษณ์อะไร 
94,1162815,what do they check in a dot physical,ผู้ที่พบราชวงศ์หยวนครั้งแรก 
95,301689,how might carbon dioxide affect results,นิยามของมังกร 
96,467006,number of years served hadrian,นอนไม่หลับนานแค่ไหน 
97,1060836,why are orca whales at seaworld so aggressive,David Ortiz เกษียณ 
98,262843,how long is a school day,อะไรคือความแตกต่างระหว่างคราบจุลินทรีย์กับทาร์ทาร์ 
99,697564,what is a rectal abscess,จุดประสงค์ของฟองน้ำคืออะไร 
